Español,Frequency,English,Points,Attempts,Successes,Misses
de,of,14459520,1,0,0,0
que,that,14421005,1,0,0,0
no,No,12379505,1,0,0,0
a,to,9549646,2,0,0,0
la,the,9125471,2,0,0,0
el,he,7531226,2,0,0,0
y,and,7128745,2,0,0,0
es,is,6993497,2,0,0,0
en,in,6817324,2,0,0,0
lo,it,6041793,2,0,0,0
un,a,5605577,2,0,0,0
por,by,4454673,3,0,0,0
qué,that,4166708,3,0,0,0
me,I,3927712,3,0,0,0
una,a,3846322,3,0,0,0
los,the,3069193,4,0,0,0
se,HE,3058120,4,0,0,0
te,tea,3034375,4,0,0,0
con,with,3028045,4,0,0,0
para,for,2832100,4,0,0,0
está,this,2433246,5,0,0,0
mi,my,2403204,5,0,0,0
pero,but,2369484,5,0,0,0
sí,Yeah,2350514,5,0,0,0
si,Yeah,2348665,5,0,0,0
bien,good,2045290,5,0,0,0
eso,that,2029720,5,0,0,0
su,his,2005512,5,0,0,0
las,the,2001203,5,0,0,0
yo,I,1915934,6,0,0,0
del,of the,1647872,7,0,0,0
como,as,1630651,7,0,0,0
aquí,here,1625090,7,0,0,0
tu,you,1618746,7,0,0,0
al,to the,1549489,7,0,0,0
más,further,1503527,7,0,0,0
le,you,1432173,7,0,0,0
esto,this,1297847,8,0,0,0
todo,all,1296897,8,0,0,0
ya,already,1115265,9,0,0,0
estoy,I'm,1092574,10,0,0,0
ahora,now,1088174,10,0,0,0
muy,very,1086248,10,0,0,0
ha,ha,1071928,10,0,0,0
esta,this,1051900,10,0,0,0
así,So,1050332,10,0,0,0
vamos,come on,1049315,10,0,0,0
algo,something,1039192,10,0,0,0
hay,there is,1014288,10,0,0,0
bueno,Well,1012700,10,0,0,0
tengo,I have,954371,11,0,0,0
él,he,931487,11,0,0,0
cuando,when,931329,11,0,0,0
estás,are,917354,11,0,0,0
sé,HE,911639,11,0,0,0
tú,you,906053,12,0,0,0
nos,us,866968,12,0,0,0
nada,nothing,863844,12,0,0,0
cómo,as,862349,12,0,0,0
este,this,858931,12,0,0,0
o,either,843972,12,0,0,0
he,He,820376,13,0,0,0
ser,be,819688,13,0,0,0
tiene,has,807065,13,0,0,0
